"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"1477";"79029_2138";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(-0.205774256369293, 46.5840246964483)
"1478";"03313_18087";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.79637793420868, 46.5620748548038)
"1479";"79030_3447";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-0.175249177491612, 46.2879979152835)
"1480";"59199_7691";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.1881593912529, 50.3157985244767)
"1481";"88413_3836";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.95914536110891, 48.2765203470617)
"1482";"45178_9906";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.54527604416749, 48.0011618838258)
"1483";"43112_16963";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.48468538629717, 45.0463310891667)
"1484";"89239_1205";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.32274956776612, 48.1872138288028)
"1485";"11390_20383";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(2.7742474153145, 43.1014100100129)
"1486";"10410_8067";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.67676770015461, 48.3149458917223)
"1487";"59449_8398";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.24024869729881, 50.4750437218928)
"1488";"25614_11334";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(6.83998713619501, 47.5210772952826)
"1489";"51217_10624";"observatoire local";"DDT de la Marne";"friche sans projet";c(3.63555612091205, 49.0727448087193)
"1490";"29072_19090";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-4.28513508075535, 47.7940261112191)
"1491";"60450_6826";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.28956039575777, 49.2207785007291)
